Freq_Inf,Sim_inf_gnd_77,Freq_68mm,Sim_finite_gnd_68,Freq_82mm,Sim_finite_gnd_82,Freq_None,Meas_no_ground,Freq_PCB,Meas_PCB_ground
850,-7.81592286680814,850,-9.35684686298212,850,-11.2554729819487,797.8588,1.3994,850,-3.63054432863661
850.653266331658,-7.8828694094511,850.653266331658,-9.42761347077593,850.653266331658,-11.1703015665018,798.9309,1.717566,851.3,-3.68807279201021
851.306532663317,-7.95035166455314,851.306532663317,-9.49887463406057,851.306532663317,-11.0863137045604,800.2433,1.246977,852.6,-3.75706113075085
851.959798994975,-8.0183708780295,851.959798994975,-9.57063086436106,851.959798994975,-11.0034852473651,801.7154,1.423911,853.9,-3.81977716662587
852.613065326633,-8.08692811733935,852.613065326633,-9.64288249143801,852.613065326633,-10.921792723764,801.9934,1.758751,855.2,-3.92032586271352
853.266331658292,-8.15602425934179,853.266331658292,-9.71562965140587,853.266331658292,-10.8412133168798,803.447,1.588055,856.5,-3.98799947487906
853.91959798995,-8.22565997745335,853.91959798995,-9.78887227418729,853.91959798995,-10.7617248416301,804.9395,1.5956,857.8,-4.05747611416943
854.572864321608,-8.29583572806998,854.572864321608,-9.86261007026991,854.572864321608,-10.6833057230764,806.1403,1.544198,859.1,-4.15319184920808
855.226130653266,-8.36655173621458,855.226130653266,-9.93684251673054,855.226130653266,-10.605934975579,807.0462,1.662224,860.4,-4.19549065289111
855.879396984925,-8.4378079803703,855.879396984925,-10.011568842491,855.879396984925,-10.5295921827295,808.0012,1.272774,861.7,-4.25438750740205
856.532663316583,-8.50960417645724,856.532663316583,-10.0867880127677,856.532663316583,-10.4542574780383,809.062,1.196825,863,-4.28687407312123
857.185929648241,-8.58193976090927,857.185929648241,-10.1624987126765,857.185929648241,-10.3799115263494,810.2309,0.8479269,864.3,-4.34988963968993
857.8391959799,-8.65481387280575,857.8391959799,-10.2386993299527,857.8391959799,-10.3065355059584,811.3404,0.913582,865.6,-4.44577216760101
858.492462311558,-8.7282253350115,858.492462311558,-10.3153879367451,858.492462311558,-10.234111091408,812.4137,0.4862196,866.9,-4.55144583234081
859.145728643216,-8.80217263427666,859.145728643216,-10.3925622704416,859.145728643216,-10.1626204369355,814.114,0.415261,868.2,-4.68398982088298
859.798994974874,-8.87665390024679,859.798994974874,-10.4702197134834,859.798994974874,-10.0920461605499,814.5935,0.2530144,869.5,-4.77512018223604
860.452261306533,-8.95166688333207,860.452261306533,-10.5483572721231,860.452261306533,-10.0223713287131,815.3881,0.351513,870.8,-4.9186073423902
861.105527638191,-9.02720893138323,861.105527638191,-10.626971554082,861.105527638191,-9.95357944160282,816.6189,-0.1669582,872.1,-5.01663673993074
861.758793969849,-9.10327696512045,861.758793969849,-10.7060587450606,861.758793969849,-9.88565441893434,817.4252,-0.5883318,873.4,-5.12730636967481
862.412060301508,-9.17986745226122,862.412060301508,-10.785614584056,862.412060301508,-9.81858058631996,817.6456,-0.195026,874.7,-5.23330862078532
863.065326633166,-9.25697638029126,863.065326633166,-10.8656343374407,863.065326633166,-9.75234266214413,818.3746,-0.758418,876,-5.34458609037345
863.718592964824,-9.33459922782338,863.718592964824,-10.9461127717556,863.718592964824,-9.68692574493413,819.2139,-1.315239,877.3,-5.44709219917237
864.371859296482,-9.41273093448778,864.371859296482,-11.0270441251708,864.371859296482,-9.62231530120671,820.9792,-1.48864,878.6,-5.57821460157435
865.025125628141,-9.49136586929836,865.025125628141,-11.1084220775712,865.025125628141,-9.55849715377127,822.2706,-2.036379,879.9,-5.77798870906051
865.678391959799,-9.5704977974397,865.678391959799,-11.1902397192195,865.678391959799,-9.49545747047138,822.9001,-2.408657,881.2,-5.98465087358103
866.331658291457,-9.65011984542036,866.331658291457,-11.2724895179577,866.331658291457,-9.43318275334689,824.2714,-2.65734,882.5,-6.18508934346365
866.984924623115,-9.73022446454039,866.984924623115,-11.3551632849038,866.984924623115,-9.37165982819963,824.9231,-3.111249,883.8,-6.35393248954994
867.638190954774,-9.81080339262214,867.638190954774,-11.4382521386079,867.638190954774,-9.31087583454621,825.9628,-3.361847,885.1,-6.49174612236826
868.291457286432,-9.89184761395755,868.291457286432,-11.5217464676338,868.291457286432,-9.25081821594244,826.7234,-3.909772,886.4,-6.64837735338075
868.944723618091,-9.97334731742831,868.944723618091,-11.605635891535,868.944723618091,-9.19147471066388,828.4107,-4.522881,887.7,-6.86894136325124
869.597989949749,-10.0552918527599,869.597989949749,-11.6899092202027,869.597989949749,-9.13283334272853,829.0223,-4.991155,889,-7.09455260760261
870.251256281407,-10.1376696848772,870.251256281407,-11.7745544115655,870.251256281407,-9.07488241324723,830.8148,-5.115107,890.3,-7.33571683990768
870.904522613065,-10.2204683463348,870.904522613065,-11.8595585276312,870.904522613065,-9.01761049208894,832.0922,-5.563561,891.6,-7.63796911688795
871.557788944724,-10.3036743878064,871.557788944724,-11.9449076888672,871.557788944724,-8.96100640984774,833.1947,-6.077247,892.9,-7.98714016662878
872.211055276382,-10.3872733266231,872.211055276382,-12.0305870269286,872.211055276382,-8.90505925009953,834.8373,-5.847559,894.2,-8.34089850452283
872.86432160804,-10.4712495933674,872.86432160804,-12.1165806357505,872.86432160804,-8.84975834193665,836.5634,-6.385255,895.5,-8.67617973743843
873.517587939699,-10.5555864765378,873.517587939699,-12.2028715210383,873.517587939699,-8.79509325276916,837.4193,-6.854319,896.8,-9.00510292461078
874.170854271357,-10.6402660653186,874.170854271357,-12.2894415482019,874.170854271357,-8.741053781382,838.5549,-7.22684,898.1,-9.31731525721064
874.824120603015,-10.7252691905042,874.824120603015,-12.3762713887973,874.824120603015,-8.68762995123796,839.593,-7.774512,899.4,-9.65154937680756
875.477386934673,-10.8105753636487,875.477386934673,-12.4633404655581,875.477386934673,-8.63481200401617,840.5201,-8.350496,900.7,-9.99983879587949
